INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42701,2005,6,0,0.05,0.31,0.6,0.89,1.06,1.12,1.18,1.12,1.05,0.92,0.77,0.48,0.26,0.03,0,9.83,0
42701,2005,7,0,0.03,0.26,0.49,0.73,1.02,1.16,1.13,1.16,1.09,0.96,0.68,0.43,0.19,0.02,0,9.36,0
42701,2005,8,0,0.04,0.24,0.57,0.88,1.02,1.23,1.29,1.15,1.13,0.94,0.69,0.4,0.18,0.01,0,9.78,0
42701,2005,9,0,0.03,0.21,0.53,0.84,1.05,1.13,1.16,1.06,0.97,0.82,0.65,0.38,0.09,0,0,8.93,0
42701,2005,10,0,0.01,0.18,0.43,0.65,0.83,0.96,0.93,0.95,0.82,0.55,0.35,0.04,0,0,0,6.69,0
42701,2005,11,0,0.01,0.22,0.46,0.58,0.73,0.76,0.76,0.76,0.61,0.42,0.25,0.01,0,0,0,5.57,0
42701,2005,12,0,0,0.05,0.28,0.43,0.51,0.61,0.58,0.54,0.49,0.42,0.27,0.03,0,0,0,4.21,0
42701,2006,1,0,0,0,0.17,0.31,0.42,0.53,0.53,0.51,0.49,0.41,0.31,0.12,0,0,0,3.8,0
42701,2006,2,0,0,0.01,0.17,0.34,0.44,0.54,0.59,0.56,0.54,0.48,0.39,0.21,0.01,0,0,4.29,0
42701,2006,3,0,0,0.07,0.35,0.56,0.7,0.83,0.89,0.84,0.74,0.69,0.54,0.32,0.04,0,0,6.59,0
42701,2006,4,0,0.01,0.22,0.48,0.65,0.78,0.93,0.92,0.9,0.88,0.76,0.61,0.34,0.06,0,0,7.54,0
42701,2006,5,0,0.12,0.43,0.7,0.95,1.06,1.15,1.09,1.04,1.02,0.77,0.52,0.27,0.06,0,0,9.18,0
42701,2006,7,0,0.04,0.21,0.48,0.77,1.12,1.21,1.17,1.2,0.96,0.8,0.62,0.37,0.12,0,0,9.07,0
42701,2006,8,0,0.02,0.2,0.54,0.78,1.11,1.22,1.22,1.14,0.88,0.82,0.55,0.34,0.1,0,0,8.94,0
42701,2006,9,0,0.01,0.22,0.48,0.78,0.94,1.02,1.01,0.89,0.81,0.61,0.44,0.24,0.04,0,0,7.49,0
42701,2006,10,0,0.02,0.34,0.62,0.79,0.88,0.91,0.92,0.84,0.75,0.61,0.36,0.11,0,0,0,7.15,0
42701,2006,12,0,0,0.13,0.38,0.52,0.64,0.7,0.69,0.64,0.56,0.46,0.3,0.06,0,0,0,5.08,0
42701,2007,1,0,0,0.01,0.24,0.47,0.63,0.72,0.75,0.75,0.66,0.58,0.44,0.23,0.01,0,0,5.49,0
42701,2007,2,0,0,0.02,0.23,0.44,0.57,0.71,0.83,0.82,0.75,0.65,0.5,0.29,0.05,0,0,5.86,0
42701,2007,3,0,0,0.11,0.36,0.55,0.68,0.78,0.81,0.76,0.74,0.61,0.52,0.34,0.1,0,0,6.34,0
42701,2007,4,0,0.04,0.33,0.61,0.76,0.87,0.92,0.92,0.93,0.9,0.82,0.6,0.37,0.11,0,0,8.18,0
42701,2007,5,0,0.11,0.42,0.7,0.93,1.09,1.14,1.16,1.09,1.02,0.9,0.74,0.42,0.15,0,0,9.87,0
42701,2007,6,0,0.09,0.35,0.62,0.9,1.12,1.28,1.32,1.18,1,0.92,0.73,0.48,0.21,0.01,0,10.2,0
42701,2007,8,0,0.01,0.16,0.48,0.76,1.03,1.13,1.07,0.97,0.9,0.73,0.53,0.26,0.11,0,0,8.15,0
42701,2007,9,0,0.01,0.21,0.51,0.78,0.86,0.89,0.82,0.72,0.67,0.58,0.42,0.22,0.05,0,0,6.72,0
42701,2007,10,0,0.02,0.27,0.48,0.61,0.72,0.76,0.72,0.67,0.63,0.52,0.33,0.1,0,0,0,5.82,0
42701,2008,1,0,0,0.01,0.15,0.3,0.4,0.48,0.58,0.61,0.59,0.49,0.35,0.17,0.01,0,0,4.14,0
42701,2008,2,0,0,0.02,0.22,0.39,0.5,0.6,0.61,0.66,0.64,0.56,0.44,0.28,0.06,0,0,4.97,0
42701,2008,3,0,0,0.07,0.31,0.5,0.6,0.7,0.77,0.76,0.72,0.63,0.51,0.33,0.06,0,0,5.98,0
42701,2008,4,0,0.02,0.21,0.4,0.55,0.6,0.64,0.7,0.7,0.71,0.63,0.57,0.39,0.13,0,0,6.24,0
42701,2008,5,0,0.08,0.35,0.55,0.8,0.91,0.96,1.04,1.03,0.98,0.81,0.66,0.47,0.21,0.01,0,8.85,0
42701,2008,6,0,0.08,0.3,0.59,0.87,1.07,1.18,1.3,1.27,1,0.8,0.54,0.34,0.13,0.01,0,9.47,0
42701,2008,7,0,0.04,0.24,0.54,0.85,1.07,1.19,1.24,1.15,0.95,0.75,0.47,0.29,0.1,0.01,0,8.9,0
42701,2008,8,0,0.03,0.25,0.6,0.86,1.04,1.08,1.13,1.08,0.9,0.7,0.49,0.27,0.11,0,0,8.54,0
42701,2008,9,0,0.02,0.21,0.5,0.75,0.91,1.08,1.08,0.97,0.88,0.62,0.41,0.23,0.04,0,0,7.69,0
42701,2009,2,0,0,0.05,0.29,0.44,0.56,0.65,0.69,0.69,0.65,0.58,0.49,0.29,0.03,0,0,5.42,0
42701,2009,3,0,0,0.13,0.42,0.62,0.78,0.91,0.93,0.91,0.88,0.76,0.55,0.33,0.06,0,0,7.27,0
42701,2009,4,0,0.02,0.2,0.38,0.55,0.72,0.9,0.89,0.87,0.75,0.59,0.44,0.27,0.08,0,0,6.64,0
