STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Jodhpur,2022-11-15 15:00:00,0.56,1.65,2022,11,15,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,1.0899999999999999
Jodhpur,2022-11-15 16:00:00,0.42,1.05,2022,11,16,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.6300000000000001
Jodhpur,2022-11-15 17:00:00,0.23,0.4,2022,11,17,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.17
Jodhpur,2022-11-15 18:00:00,0.02,0.03,2022,11,18,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.009999999999999998
Jodhpur,2022-11-15 19:00:00,0.0,0.0,2022,11,19,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2022-11-15 20:00:00,0.0,0.0,2022,11,20,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2023-01-15 05:00:00,0.0,0.0,2023,1,5,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0
Jodhpur,2023-01-15 06:00:00,0.0,0.0,2023,1,6,1.0,6.123233995736766e-17,0.0,1.0,0.0
Jodhpur,2023-01-15 07:00:00,0.01,0.02,2023,1,7,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.01
Jodhpur,2023-01-15 08:00:00,0.18,0.34,2023,1,8,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.16000000000000003
Jodhpur,2023-01-15 09:00:00,0.37,0.96,2023,1,9,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.59
Jodhpur,2023-01-15 10:00:00,0.5,1.55,2023,1,10,0.49999999999999994,-0.8660254037844387,0.0,1.0,1.05
Jodhpur,2023-01-15 11:00:00,0.58,1.97,2023,1,11,0.258819045102521,-0.9659258262890682,0.0,1.0,1.3900000000000001
Jodhpur,2023-01-15 12:00:00,0.61,2.23,2023,1,12,1.2246467991473532e-16,-1.0,0.0,1.0,1.62
Jodhpur,2023-01-15 13:00:00,0.63,2.27,2023,1,13,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1.6400000000000001
Jodhpur,2023-01-15 14:00:00,0.58,2.01,2023,1,14,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1.4299999999999997
Jodhpur,2023-01-15 15:00:00,0.52,1.58,2023,1,15,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1.06
Jodhpur,2023-01-15 16:00:00,0.38,0.95,2023,1,16,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.57
Jodhpur,2023-01-15 17:00:00,0.19,0.34,2023,1,17,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.15000000000000002
Jodhpur,2023-01-15 18:00:00,0.01,0.01,2023,1,18,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0
Jodhpur,2023-01-15 19:00:00,0.0,0.0,2023,1,19,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0
